"m_date","m_open_split_adjusted","m_high_split_adjusted","m_low_split_adjusted","m_close_split_adjusted","m_volume_split_adjusted","m_close_dividend_and_split_adjusted"
2016-01-04,200.49000549316406,201.02999877929688,198.58999633789062,201.02000427246094,222353500,169.47155761718750
2016-01-05,201.39999389648438,201.89999389648438,200.05000305175780,201.36000061035156,110845800,169.75823974609375
2016-01-06,198.33999633789062,200.05999755859375,197.60000610351562,198.82000732421875,152112600,167.61680603027344
2016-01-07,195.33000183105470,197.44000244140625,193.58999633789062,194.05000305175780,213436100,163.59544372558594
2016-01-08,195.19000244140625,195.85000610351562,191.58000183105470,191.91999816894530,209817200,161.79972839355470
2016-01-11,193.00999450683594,193.41000366210938,189.82000732421875,192.11000061035156,187941300,161.95993041992188
2016-01-12,193.82000732421875,194.55000305175780,191.13999938964844,193.66000366210938,172330500,163.26667785644530
2016-01-13,194.44999694824220,194.86000061035156,188.38000488281250,188.83000183105470,221168900,159.19468688964844
2016-01-14,189.55000305175780,193.25999450683594,187.66000366210938,191.92999267578125,240795600,161.80810546875000
2016-01-15,186.77000427246094,188.75999450683594,185.52000427246094,187.80999755859375,324846400,158.33474731445312
2016-01-19,189.96000671386720,190.11000061035156,186.19999694824220,188.05999755859375,195244400,158.54551696777344
2016-01-20,185.02999877929688,187.50000000000000,181.02000427246094,185.64999389648438,286547800,156.51374816894530
2016-01-21,186.21000671386720,188.86999511718750,184.63999938964844,186.69000244140625,195772900,157.39056396484375
2016-01-22,189.77999877929688,190.75999450683594,188.88000488281250,190.52000427246094,168319600,160.61944580078125
2016-01-25,189.91999816894530,190.14999389648438,187.41000366210938,187.63999938964844,130371700,158.19140625000000
2016-01-26,188.41999816894530,190.52999877929688,188.02000427246094,190.19999694824220,141036800,160.34965515136720
2016-01-27,189.58000183105470,191.55999755859375,187.05999755859375,188.13000488281250,185681700,158.60455322265625
2016-01-28,189.96000671386720,190.19999694824220,187.16000366210938,189.11000061035156,143798800,159.43070983886720
2016-01-29,190.02000427246094,193.88000488281250,189.88000488281250,193.72000122070312,210529300,163.31721496582030
2016-02-01,192.52999877929688,194.58000183105470,191.83999633789062,193.64999389648438,136061600,163.25827026367188
2016-02-02,191.96000671386720,191.97000122070312,189.53999328613280,190.16000366210938,182564900,160.31594848632812
2016-02-03,191.41000366210938,191.77999877929688,187.10000610351562,191.30000305175780,205054900,161.27702331542970
2016-02-04,190.71000671386720,192.75000000000000,189.96000671386720,191.60000610351562,139531800,161.52996826171875
2016-02-05,190.99000549316406,191.66999816894530,187.19999694824220,187.94999694824220,180788300,158.45274353027344
2016-02-08,185.77000427246094,186.11999511718750,182.80000305175780,185.41999816894530,191526700,156.31983947753906
2016-02-09,183.36000061035156,186.94000244140625,183.19999694824220,185.42999267578125,184513100,156.32830810546875
2016-02-10,186.41000366210938,188.33999633789062,185.11999511718750,185.27000427246094,148214100,156.19332885742188
2016-02-11,182.33999633789062,184.10000610351562,181.08999633789062,182.86000061035156,219058900,154.16159057617188
2016-02-12,184.96000671386720,186.64999389648438,183.96000671386720,186.63000488281250,127632400,157.33992004394530
2016-02-16,188.77000427246094,189.80999755859375,187.63000488281250,189.77999877929688,120250700,159.99559020996094
2016-02-17,191.16000366210938,193.32000732421875,191.00999450683594,192.88000488281250,136009500,162.60906982421875
2016-02-18,193.19999694824220,193.27000427246094,191.72000122070312,192.08999633789062,102343000,161.94302368164062
2016-02-19,191.16999816894530,192.17999267578125,190.44999694824220,192.00000000000000,114793000,161.86718750000000
2016-02-22,193.86999511718750,194.94999694824220,193.78999328613280,194.77999877929688,103640300,164.21086120605470
2016-02-23,194.00000000000000,194.32000732421875,192.17999267578125,192.32000732421875,111455300,162.13697814941406
2016-02-24,190.63000488281250,193.52999877929688,189.32000732421875,193.19999694824220,150812200,162.87887573242188
2016-02-25,193.72999572753906,195.55000305175780,192.83000183105470,195.53999328613280,110728300,164.85154724121094
2016-02-26,196.57000732421875,196.67999267578125,194.89999389648438,195.08999633789062,129833700,164.47218322753906
2016-02-29,195.11000061035156,196.22999572753906,193.33000183105470,193.55999755859375,125918100,163.18235778808594
2016-03-01,195.00999450683594,198.21000671386720,194.44999694824220,198.11000061035156,141799700,167.01831054687500
2016-03-02,197.74000549316406,199.05999755859375,197.25000000000000,199.00000000000000,102415000,167.76855468750000
2016-03-03,198.78999328613280,199.80000305175780,198.11000061035156,199.77999877929688,95172200,168.42614746093750
2016-03-04,200.00999450683594,201.35000610351562,199.02999877929688,200.42999267578125,129293600,168.97413635253906
2016-03-07,199.33999633789062,201.07000732421875,199.25000000000000,200.58999633789062,100219000,169.10905456542970
2016-03-08,199.32000732421875,199.91999816894530,198.21000671386720,198.39999389648438,123974900,167.26275634765625
2016-03-09,199.36000061035156,199.78999328613280,198.42999267578125,199.38000488281250,94801200,168.08898925781250
2016-03-10,199.96000671386720,201.07000732421875,197.38000488281250,199.53999328613280,156838700,168.22380065917970
2016-03-11,201.25999450683594,202.80999755859375,199.52000427246094,202.75999450683594,137964500,170.93850708007812
2016-03-14,202.16000366210938,203.03999328613280,201.77000427246094,202.50000000000000,73612000,170.71929931640625
2016-03-15,201.36000061035156,202.52999877929688,201.05000305175780,202.16999816894530,93169100,170.44105529785156
2016-03-16,201.60000610351562,203.82000732421875,201.55000305175780,203.33999633789062,129303200,171.42744445800780
2016-03-17,203.24000549316406,205.22999572753906,202.77000427246094,204.63000488281250,134278500,172.51502990722656
2016-03-18,204.16999816894530,204.77999877929688,203.80000305175780,204.38000488281250,138372400,173.19287109375000
2016-03-21,204.07000732421875,204.94000244140625,203.80000305175780,204.66999816894530,72926700,173.43864440917970
2016-03-22,203.75999450683594,205.22999572753906,203.57000732421875,204.55999755859375,97471900,173.34547424316406
2016-03-23,204.11000061035156,204.33000183105470,203.00999450683594,203.21000671386720,81052500,172.20146179199220
2016-03-24,202.00000000000000,203.16000366210938,201.74000549316406,203.11999511718750,84360900,172.12518310546875
2016-03-28,203.61000061035156,203.86000061035156,202.71000671386720,203.24000549316406,62408200,172.22685241699220
2016-03-29,202.75999450683594,205.25000000000000,202.39999389648438,205.11999511718750,92922900,173.81999206542970
2016-03-30,206.30000305175780,206.86999511718750,205.58999633789062,206.02000427246094,86365300,174.58265686035156
2016-03-31,205.91000366210938,206.41000366210938,205.33000183105470,205.52000427246094,94584100,174.15899658203125
