"m_date","m_open_split_adjusted","m_high_split_adjusted","m_low_split_adjusted","m_close_split_adjusted","m_volume_split_adjusted","m_close_dividend_and_split_adjusted"
2021-04-14,381.000000000000000,429.540008544921900,310.000000000000000,328.279998779296900,81065700,328.279998779296900
2021-04-15,348.899993896484400,349.200012207031250,317.269989013671900,322.750000000000000,39777900,322.750000000000000
2021-04-16,327.500000000000000,345.989990234375000,321.029998779296900,342.000000000000000,22654500,342.000000000000000
2021-04-19,337.260009765625000,341.010009765625000,326.790008544921900,333.000000000000000,11405600,333.000000000000000
2021-04-20,333.429992675781250,334.829986572265600,312.019989013671900,320.820007324218750,18082300,320.820007324218750
2021-04-21,312.519989013671900,327.470001220703100,302.100006103515600,311.920013427734400,10103900,311.920013427734400
2021-04-22,305.760009765625000,313.500000000000000,287.200012207031250,293.450012207031250,14991900,293.450012207031250
2021-04-23,282.750000000000000,303.000000000000000,282.070007324218750,291.600006103515600,9853800,291.600006103515600
2021-04-26,304.290008544921900,306.100006103515600,296.899993896484400,304.540008544921900,6330200,304.540008544921900
2021-04-27,306.700012207031250,306.700012207031250,299.500000000000000,302.000000000000000,3902000,302.000000000000000
2021-04-28,301.010009765625000,302.899993896484400,298.049987792968750,298.049987792968750,2746100,298.049987792968750
2021-04-29,298.450012207031250,300.000000000000000,292.100006103515600,294.769989013671900,2845800,294.769989013671900
2021-04-30,293.000000000000000,302.739990234375000,291.000000000000000,297.640014648437500,3997400,297.640014648437500
2021-05-03,304.000000000000000,305.029998779296900,293.940002441406250,294.209991455078100,3333800,294.209991455078100
2021-05-04,292.059997558593750,292.190002441406250,275.609985351562500,280.660003662109400,5707700,280.660003662109400
2021-05-05,284.950012207031250,289.149993896484400,269.000000000000000,273.000000000000000,5074600,273.000000000000000
2021-05-06,271.149993896484400,272.140014648437500,250.509994506835940,256.760009765625000,8342000,256.760009765625000
2021-05-07,261.149993896484400,267.070007324218750,258.380004882812500,263.700012207031250,4243700,263.700012207031250
